scope,factor_category,subtype_key,basis,region,unit,co2e_factor,notes
SCOPE_1,stationary_combustion_natural_gas,,STANDARD,UK,kWh,0.1829,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Fuels: Gaseous fuels > Natural gas, kWh (Gross CV)"
SCOPE_1,stationary_combustion_diesel,,STANDARD,UK,litres,2.51279,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Fuels: Liquid fuels > Diesel (average biofuel blend), litres"
SCOPE_1,mobile_combustion_fuel,petrol,STANDARD,UK,litres,2.0844,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Fuels: Liquid fuels > Petrol (average biofuel blend), litres"
SCOPE_1,mobile_combustion_fuel,diesel,STANDARD,UK,litres,2.51279,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Fuels: Liquid fuels > Diesel (average biofuel blend), litres (same as stationary diesel)"
SCOPE_1,mobile_combustion_mileage,car_petrol_avg,STANDARD,UK,miles,0.26473,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Passenger vehicles: Cars (by size) > Average car > Petrol, miles"
SCOPE_1,mobile_combustion_mileage,car_diesel_avg,STANDARD,UK,miles,0.27334,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Passenger vehicles: Cars (by size) > Average car > Diesel, miles"
SCOPE_1,mobile_combustion_mileage,car_hybrid_avg,STANDARD,UK,miles,0.20288,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Passenger vehicles: Cars (by size) > Average car > Hybrid, miles"
SCOPE_1,mobile_combustion_mileage,car_electric,STANDARD,UK,miles,0.0,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Passenger vehicles: Cars (by size) > Average car > Battery Electric Vehicle, miles -- Scope 1 tailpipe only, 0 kgCO2e/mile (see README)."
SCOPE_1,mobile_combustion_mileage,motorbike_avg,STANDARD,UK,miles,0.18293,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Passenger vehicles: Motorbike > Average, miles"
SCOPE_1,fugitive_refrigerant,r410a,STANDARD,UK,kg,1924.0,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Refrigerant & other: Blends > R410A, Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r404a,STANDARD,UK,kg,3943.0,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Refrigerant & other: Blends > R404A, Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r134a,STANDARD,UK,kg,1300.0,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Refrigerant & other: Kyoto protocol products > HFC-134a (=R134a), Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r32,STANDARD,UK,kg,677.0,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Refrigerant & other: Kyoto protocol products > HFC-32 (=R32), Total emissions incl. non-Kyoto products"
SCOPE_2,grid_electricity,,LOCATION_BASED,UK,kWh,0.20705,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet UK electricity: Electricity generated > Electricity: UK, kWh"
SCOPE_2,grid_electricity,,RESIDUAL_MIX,UK,kWh,0.20705,"Same as location-based (DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet UK electricity) -- DESNZ publishes no separate UK residual-mix figure; reused as a stated simplification, see README #26."
SCOPE_2,grid_electricity,,MARKET_BASED,UK,kWh,0.0,Not a DESNZ figure -- zero-rated business-rule simplification for REGO/green-tariff-backed sites (see README #5).
SCOPE_2,purchased_heat_steam,,STANDARD,UK,kWh,0.17965,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Heat and steam: Heat and steam > District heat and steam, kWh"
SCOPE_3,business_travel,rail,STANDARD,UK,km,0.03546,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- land: Rail > National rail, passenger.km"
SCOPE_3,business_travel,flight_domestic,STANDARD,UK,km,0.27257,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- air: Flights > Domestic, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,flight_short_haul,STANDARD,UK,km,0.18592,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- air: Flights > Short-haul, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,flight_long_haul,STANDARD,UK,km,0.26128,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- air: Flights > Long-haul, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,hotel,STANDARD,UK,nights,10.4,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Hotel stay: Hotel stay > UK, Room per night -- used for every stay regardless of destination, see README #25"
SCOPE_3,employee_commuting,commute_car_petrol_avg,STANDARD,UK,miles,0.26473,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- land: Cars (by size) > Average car > Petrol, miles"
SCOPE_3,employee_commuting,commute_car_diesel_avg,STANDARD,UK,miles,0.27334,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- land: Cars (by size) > Average car > Diesel, miles"
SCOPE_3,employee_commuting,commute_car_electric,STANDARD,UK,miles,0.07636,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- land: Cars (by size) > Average car > Battery Electric Vehicle, miles"
SCOPE_3,employee_commuting,commute_motorbike,STANDARD,UK,miles,0.18293,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- land: Motorbike > Average, miles"
SCOPE_3,employee_commuting,commute_bus,STANDARD,UK,miles,0.17454945024000001,"Converted from DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- land: Bus > Average local bus, passenger.km (0.10846 x 1.609344 km/mile) -- no miles column published for bus"
SCOPE_3,employee_commuting,commute_rail,STANDARD,UK,miles,0.05706733824,"Converted from DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Business travel- land: Rail > National rail, passenger.km (0.03546 x 1.609344 km/mile) -- no miles column published for rail"
SCOPE_3,employee_commuting,commute_active,STANDARD,UK,miles,0.0,"Not a DESNZ lookup -- cycling/walking is definitionally zero-emission, see README #28"
SCOPE_3,employee_commuting,commute_wfh,STANDARD,UK,miles,0.0,"Not a DESNZ lookup -- no commute occurs, see README #28"
SCOPE_3,wtt_natural_gas,,STANDARD,UK,kWh,0.03021,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- fuels: Gaseous fuels > Natural gas, kWh (Gross CV)"
SCOPE_3,wtt_diesel,,STANDARD,UK,litres,0.61101,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- fuels: Liquid fuels > Diesel (average biofuel blend), litres"
SCOPE_3,wtt_road_fuel,petrol,STANDARD,UK,litres,0.58094,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- fuels: Liquid fuels > Petrol (average biofuel blend), litres"
SCOPE_3,wtt_road_fuel,diesel,STANDARD,UK,litres,0.61101,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- fuels: Liquid fuels > Diesel (average biofuel blend), litres (same as WTT stationary diesel)"
SCOPE_3,wtt_mileage,car_petrol_avg,STANDARD,UK,miles,0.07401,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- pass vehs & travel- land: WTT- cars (by size) > Average car > Petrol, miles"
SCOPE_3,wtt_mileage,car_diesel_avg,STANDARD,UK,miles,0.06673,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- pass vehs & travel- land: WTT- cars (by size) > Average car > Diesel, miles"
SCOPE_3,wtt_mileage,car_hybrid_avg,STANDARD,UK,miles,0.05335,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- pass vehs & travel- land: WTT- cars (by size) > Average car > Hybrid, miles"
SCOPE_3,wtt_mileage,car_electric,STANDARD,UK,miles,0.01688,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- pass vehs & travel- land: WTT- cars (by size) > Average car > Battery Electric Vehicle, miles"
SCOPE_3,wtt_mileage,motorbike_avg,STANDARD,UK,miles,0.04757,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet WTT- pass vehs & travel- land: WTT- motorbike > Average, miles"
SCOPE_3,td_losses_electricity,,STANDARD,UK,kWh,0.0183,"DESNZ 2024 full-set (advanced users), 2024-full-set.xlsx, sheet Transmission and distribution: T&D- UK electricity > Electricity: UK, kWh"
SCOPE_1,ref_fuels,gaseous_fuels_butane_tonnes,STANDARD,UK,tonnes,3033.38067,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 23 (activity/type: Gaseous fuels / Butane)"
SCOPE_1,ref_fuels,gaseous_fuels_butane_litres,STANDARD,UK,litres,1.74532,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 24 (activity/type: Gaseous fuels / Butane)"
SCOPE_1,ref_fuels,gaseous_fuels_butane_kwh_net_cv,STANDARD,UK,kWh (Net CV),0.24106,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 25 (activity/type: Gaseous fuels / Butane)"
SCOPE_1,ref_fuels,gaseous_fuels_butane_kwh_gross_cv,STANDARD,UK,kWh (Gross CV),0.22241,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 26 (activity/type: Gaseous fuels / Butane)"
SCOPE_1,ref_fuels,gaseous_fuels_cng_tonnes,STANDARD,UK,tonnes,2568.16441,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 27 (activity/type: Gaseous fuels / CNG)"
SCOPE_1,ref_fuels,gaseous_fuels_cng_litres,STANDARD,UK,litres,0.44942,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 28 (activity/type: Gaseous fuels / CNG)"
SCOPE_1,ref_fuels,gaseous_fuels_cng_kwh_net_cv,STANDARD,UK,kWh (Net CV),0.20264,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 29 (activity/type: Gaseous fuels / CNG)"
SCOPE_1,ref_fuels,gaseous_fuels_cng_kwh_gross_cv,STANDARD,UK,kWh (Gross CV),0.1829,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 30 (activity/type: Gaseous fuels / CNG)"
SCOPE_1,ref_fuels,gaseous_fuels_lng_tonnes,STANDARD,UK,tonnes,2590.46441,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 31 (activity/type: Gaseous fuels / LNG)"
SCOPE_1,ref_fuels,gaseous_fuels_lng_litres,STANDARD,UK,litres,1.17216,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 32 (activity/type: Gaseous fuels / LNG)"
SCOPE_1,ref_fuels,gaseous_fuels_lng_kwh_net_cv,STANDARD,UK,kWh (Net CV),0.2044,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 33 (activity/type: Gaseous fuels / LNG)"
SCOPE_1,ref_fuels,gaseous_fuels_lng_kwh_gross_cv,STANDARD,UK,kWh (Gross CV),0.18449,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 34 (activity/type: Gaseous fuels / LNG)"
SCOPE_1,ref_fuels,gaseous_fuels_lpg_tonnes,STANDARD,UK,tonnes,2939.36095,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 35 (activity/type: Gaseous fuels / LPG)"
SCOPE_1,ref_fuels,gaseous_fuels_lpg_litres,STANDARD,UK,litres,1.55713,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 36 (activity/type: Gaseous fuels / LPG)"
SCOPE_1,ref_fuels,gaseous_fuels_lpg_kwh_net_cv,STANDARD,UK,kWh (Net CV),0.23031,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 37 (activity/type: Gaseous fuels / LPG)"
SCOPE_1,ref_fuels,gaseous_fuels_lpg_kwh_gross_cv,STANDARD,UK,kWh (Gross CV),0.2145,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 38 (activity/type: Gaseous fuels / LPG)"
SCOPE_1,ref_fuels,gaseous_fuels_natural_gas_tonnes,STANDARD,UK,tonnes,2568.16441,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 39 (activity/type: Gaseous fuels / Natural gas)"
SCOPE_1,ref_fuels,gaseous_fuels_natural_gas_cubic_metres,STANDARD,UK,cubic metres,2.04542,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 40 (activity/type: Gaseous fuels / Natural gas)"
SCOPE_1,ref_fuels,gaseous_fuels_natural_gas_kwh_net_cv,STANDARD,UK,kWh (Net CV),0.20264,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 41 (activity/type: Gaseous fuels / Natural gas)"
SCOPE_1,ref_fuels,gaseous_fuels_natural_gas_kwh_gross_cv,STANDARD,UK,kWh (Gross CV),0.1829,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 42 (activity/type: Gaseous fuels / Natural gas)"
SCOPE_1,ref_fuels,gaseous_fuels_natural_gas_100_mineral_blend_tonnes,STANDARD,UK,tonnes,2590.46441,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 43 (activity/type: Gaseous fuels / Natural gas (100% mineral blend))"
SCOPE_1,ref_fuels,gaseous_fuels_natural_gas_100_mineral_blend_cubic_metres,STANDARD,UK,cubic metres,2.06318,"DEFRA/DESNZ 2024 full set (advanced users) — sheet 'Fuels', row 44 (activity/type: Gaseous fuels / Natural gas (100% mineral blend))"
