scope,factor_category,subtype_key,basis,region,unit,co2e_factor,notes
SCOPE_1,stationary_combustion_natural_gas,,STANDARD,UK,kWh,0.18231,"DESNZ 2026 flat-format, row 1_100_1004_6_1: Fuels > Gaseous fuels > Natural gas, kWh (Gross CV)"
SCOPE_1,stationary_combustion_diesel,,STANDARD,UK,litres,2.58354,"DESNZ 2026 flat-format, row 1_101_1011_8_1: Fuels > Liquid fuels > Diesel (average biofuel blend), litres"
SCOPE_1,mobile_combustion_fuel,petrol,STANDARD,UK,litres,2.075,"DESNZ 2026 flat-format, row 1_101_1017_8_1: Fuels > Liquid fuels > Petrol (average biofuel blend), litres"
SCOPE_1,mobile_combustion_fuel,diesel,STANDARD,UK,litres,2.58354,"DESNZ 2026 flat-format, row 1_101_1017_8_1: Fuels > Liquid fuels > Diesel (average biofuel blend), litres (same as stationary diesel)"
SCOPE_1,mobile_combustion_mileage,car_petrol_avg,STANDARD,UK,miles,0.25993,"DESNZ 2026 flat-format, row 4_301_3070_9_1: Passenger vehicles > Cars (by size) > Average car > Petrol, miles"
SCOPE_1,mobile_combustion_mileage,car_diesel_avg,STANDARD,UK,miles,0.27786,"DESNZ 2026 flat-format, row 4_301_3069_9_1: Passenger vehicles > Cars (by size) > Average car > Diesel, miles"
SCOPE_1,mobile_combustion_mileage,car_hybrid_avg,STANDARD,UK,miles,0.20857,"DESNZ 2026 flat-format, row 4_301_3071_9_1: Passenger vehicles > Cars (by size) > Average car > Hybrid, miles"
SCOPE_1,mobile_combustion_mileage,car_electric,STANDARD,UK,miles,0,"DESNZ 2026 flat-format, row 4_301_3076_9_1: Passenger vehicles > Cars (by size) > Average car > Battery Electric Vehicle, miles -- Scope 1 tailpipe = 0 kgCO2e/mile; upstream electricity emissions for EV charging are not captured by this Scope 1 mileage entry (see README)."
SCOPE_1,mobile_combustion_mileage,motorbike_avg,STANDARD,UK,miles,0.18293,"DESNZ 2026 flat-format, row 4_302_3080_9_1: Passenger vehicles > Motorbike > Average, miles"
SCOPE_1,fugitive_refrigerant,r410a,STANDARD,UK,kg,1924,"DESNZ 2026 flat-format, row 3_201_2158_3_1: Refrigerant & other > Blends > R410A, Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r404a,STANDARD,UK,kg,3943,"DESNZ 2026 flat-format, row 3_201_2122_3_1: Refrigerant & other > Blends > R404A, Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r134a,STANDARD,UK,kg,1300,"DESNZ 2026 flat-format, row 3_200_2026_3_1: Refrigerant & other > Kyoto protocol products > HFC-134a (=R134a), Total emissions incl. non-Kyoto products"
SCOPE_1,fugitive_refrigerant,r32,STANDARD,UK,kg,677,"DESNZ 2026 flat-format, row 3_200_2014_3_1: Refrigerant & other > Kyoto protocol products > HFC-32 (=R32), Total emissions incl. non-Kyoto products"
SCOPE_2,grid_electricity,,LOCATION_BASED,UK,kWh,0.13096,"DESNZ 2026 flat-format, row 7_400_4000_5_1: UK electricity > Electricity generated > Electricity: UK, kWh"
SCOPE_2,grid_electricity,,RESIDUAL_MIX,UK,kWh,0.13096,"DESNZ 2026 flat-format, row 7_400_4000_5_1: Same as location-based (UK electricity > Electricity generated > Electricity: UK) -- DESNZ publishes no separate UK residual-mix figure (that's an AIB publication, not sourced here); reused as a stated simplification, see README #26."
SCOPE_2,grid_electricity,,MARKET_BASED,UK,kWh,0,"DESNZ 2026 flat-format, row n/a: Not a DESNZ figure -- zero-rated business-rule simplification for REGO/green-tariff-backed sites (methodology Section 5 simplification, see README #5)."
SCOPE_2,purchased_heat_steam,,STANDARD,UK,kWh,0.17529,"DESNZ 2026 flat-format, row 10_401_4003_5_1: Heat and steam > Heat and steam > District heat and steam, kWh"
SCOPE_3,business_travel,rail,STANDARD,UK,km,0.03092,"DESNZ 2026 flat-format, row 25_315_3147_11_1: Business travel- land > Rail > National rail, passenger.km"
SCOPE_3,business_travel,flight_domestic,STANDARD,UK,km,0.22928,"DESNZ 2026 flat-format, row 21_316_3160_11_1: Business travel- air > Flights > Domestic, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,flight_short_haul,STANDARD,UK,km,0.12786,"DESNZ 2026 flat-format, row 21_316_3162_11_1: Business travel- air > Flights > Short-haul, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,flight_long_haul,STANDARD,UK,km,0.15282,"DESNZ 2026 flat-format, row 21_316_3168_11_1: Business travel- air > Flights > Long-haul, to/from UK > Average passenger > With RF, passenger.km"
SCOPE_3,business_travel,hotel,STANDARD,UK,nights,10.4,"DESNZ 2026 flat-format, row 29_600_4000_13_1: Hotel stay > Hotel stay > UK, Room per night -- used for every stay regardless of actual destination, see README #25"
SCOPE_3,employee_commuting,commute_car_petrol_avg,STANDARD,UK,miles,0.25993,"DESNZ 2026 flat-format, row 25_301_3070_9_1: Business travel- land > Cars (by size) > Average car > Petrol, miles"
SCOPE_3,employee_commuting,commute_car_diesel_avg,STANDARD,UK,miles,0.27786,"DESNZ 2026 flat-format, row 25_301_3069_9_1: Business travel- land > Cars (by size) > Average car > Diesel, miles"
SCOPE_3,employee_commuting,commute_car_electric,STANDARD,UK,miles,0.04749,"DESNZ 2026 flat-format, row 25_301_3076_9_1: Business travel- land > Cars (by size) > Average car > Battery Electric Vehicle, miles"
SCOPE_3,employee_commuting,commute_motorbike,STANDARD,UK,miles,0.18294,"DESNZ 2026 flat-format, row 25_302_3080_9_1: Business travel- land > Motorbike > Average, miles"
SCOPE_3,employee_commuting,commute_bus,STANDARD,UK,miles,0.16336451,"DESNZ 2026 flat-format, row 25_314_3145_11_1: Converted from Business travel- land > Bus > Average local bus, passenger.km (0.10151 kgCO2e/passenger.km x 1.609344 km/mile) -- DESNZ publishes no miles column for bus"
SCOPE_3,employee_commuting,commute_rail,STANDARD,UK,miles,0.04976092,"DESNZ 2026 flat-format, row 25_315_3147_11_1: Converted from Business travel- land > Rail > National rail, passenger.km (0.03092 kgCO2e/passenger.km x 1.609344 km/mile) -- DESNZ publishes no miles column for rail"
SCOPE_3,employee_commuting,commute_active,STANDARD,UK,miles,0,"DESNZ 2026 flat-format, row n/a: Not a DESNZ lookup -- cycling/walking is definitionally zero-emission, see README #28"
SCOPE_3,employee_commuting,commute_wfh,STANDARD,UK,miles,0,"DESNZ 2026 flat-format, row n/a: Not a DESNZ lookup -- no commute occurs, see README #28"
SCOPE_3,wtt_natural_gas,,STANDARD,UK,kWh,0.03021,"DESNZ 2026 flat-format, row 11_100_1004_6_1: WTT- fuels > Gaseous fuels > Natural gas, kWh (Gross CV)"
SCOPE_3,wtt_diesel,,STANDARD,UK,litres,0.61101,"DESNZ 2026 flat-format, row 11_101_1011_8_1: WTT- fuels > Liquid fuels > Diesel (average biofuel blend), litres"
SCOPE_3,wtt_road_fuel,petrol,STANDARD,UK,litres,0.58094,"DESNZ 2026 flat-format, row 11_101_1017_8_1: WTT- fuels > Liquid fuels > Petrol (average biofuel blend), litres"
SCOPE_3,wtt_road_fuel,diesel,STANDARD,UK,litres,0.61101,"DESNZ 2026 flat-format, row 11_101_1017_8_1: WTT- fuels > Liquid fuels > Diesel (average biofuel blend), litres (same as WTT for stationary diesel)"
SCOPE_3,wtt_mileage,car_petrol_avg,STANDARD,UK,miles,0.07401,"DESNZ 2026 flat-format, row 26_904_3070_9_1: WTT- pass vehs & travel- land > WTT- cars (by size) > Average car > Petrol, miles"
SCOPE_3,wtt_mileage,car_diesel_avg,STANDARD,UK,miles,0.06673,"DESNZ 2026 flat-format, row 26_904_3069_9_1: WTT- pass vehs & travel- land > WTT- cars (by size) > Average car > Diesel, miles"
SCOPE_3,wtt_mileage,car_hybrid_avg,STANDARD,UK,miles,0.05335,"DESNZ 2026 flat-format, row 26_904_3071_9_1: WTT- pass vehs & travel- land > WTT- cars (by size) > Average car > Hybrid, miles"
SCOPE_3,wtt_mileage,car_electric,STANDARD,UK,miles,0.01688,"DESNZ 2026 flat-format, row 26_904_3076_9_1: WTT- pass vehs & travel- land > WTT- cars (by size) > Average car > Battery Electric Vehicle, miles"
